month,sza_bin,sfi_bin,spot_count,snr_median,date
2023-05,20,Low (100-160),3834,-17.0,2023-05-15
2023-05,25,Low (100-160),3223,-18.0,2023-05-15
2023-05,30,Low (100-160),2452,-18.0,2023-05-15
2023-05,35,Low (100-160),1978,-19.0,2023-05-15
2023-05,40,Low (100-160),1536,-19.0,2023-05-15
2023-05,45,Low (100-160),1601,-19.0,2023-05-15
2023-05,50,Low (100-160),1680,-18.0,2023-05-15
2023-05,55,Low (100-160),1491,-17.0,2023-05-15
2023-05,60,Low (100-160),1273,-18.0,2023-05-15
2023-05,65,Low (100-160),1351,-18.0,2023-05-15
2023-05,70,Low (100-160),1595,-19.0,2023-05-15
2023-05,75,Low (100-160),1503,-19.0,2023-05-15
2023-05,80,Low (100-160),1044,-18.0,2023-05-15
2023-05,85,Low (100-160),428,-14.0,2023-05-15
2023-05,10,Low (100-160),26,-18.0,2023-05-16
2023-05,15,Low (100-160),130,-22.0,2023-05-16
2023-05,20,Low (100-160),417,-21.0,2023-05-16
2023-05,25,Low (100-160),845,-21.0,2023-05-16
2023-05,30,Low (100-160),455,-19.0,2023-05-16
2023-05,35,Low (100-160),608,-18.0,2023-05-16
2023-05,40,Low (100-160),915,-16.0,2023-05-16
2023-05,45,Low (100-160),948,-16.0,2023-05-16
2023-05,50,Low (100-160),902,-16.0,2023-05-16
2023-05,55,Low (100-160),728,-17.0,2023-05-16
2023-05,60,Low (100-160),705,-18.0,2023-05-16
2023-05,65,Low (100-160),799,-17.0,2023-05-16
2023-05,70,Low (100-160),772,-20.0,2023-05-16
2023-05,75,Low (100-160),637,-18.0,2023-05-16
2023-05,80,Low (100-160),494,-14.0,2023-05-16
2023-05,85,Low (100-160),311,-12.0,2023-05-16
2023-05,10,Low (100-160),115,-18.0,2023-05-17
2023-05,15,Low (100-160),518,-18.0,2023-05-17
2023-05,20,Low (100-160),1168,-20.0,2023-05-17
2023-05,25,Low (100-160),1122,-20.0,2023-05-17
2023-05,30,Low (100-160),1337,-20.0,2023-05-17
2023-05,35,Low (100-160),1669,-19.0,2023-05-17
2023-05,40,Low (100-160),1714,-20.0,2023-05-17
2023-05,45,Low (100-160),1272,-18.0,2023-05-17
2023-05,50,Low (100-160),997,-19.0,2023-05-17
2023-05,55,Low (100-160),945,-19.0,2023-05-17
2023-05,60,Low (100-160),899,-20.0,2023-05-17
2023-05,65,Low (100-160),930,-19.0,2023-05-17
2023-05,70,Low (100-160),712,-19.0,2023-05-17
2023-05,75,Low (100-160),542,-19.0,2023-05-17
2023-05,80,Low (100-160),390,-19.0,2023-05-17
2023-05,85,Low (100-160),120,-19.0,2023-05-17
2023-05,10,Low (100-160),45,-22.0,2023-05-18
2023-05,15,Low (100-160),616,-21.0,2023-05-18
2023-05,20,Low (100-160),1012,-21.0,2023-05-18
2023-05,25,Low (100-160),1686,-19.0,2023-05-18
2023-05,30,Low (100-160),2353,-19.0,2023-05-18
2023-05,35,Low (100-160),3393,-19.0,2023-05-18
2023-05,40,Low (100-160),3969,-19.0,2023-05-18
2023-05,45,Low (100-160),3870,-18.0,2023-05-18
2023-05,50,Low (100-160),3548,-18.0,2023-05-18
2023-05,55,Low (100-160),2902,-18.0,2023-05-18
2023-05,60,Low (100-160),2706,-17.0,2023-05-18
2023-05,65,Low (100-160),2576,-17.0,2023-05-18
2023-05,70,Low (100-160),1908,-18.0,2023-05-18
2023-05,75,Low (100-160),1543,-18.0,2023-05-18
2023-05,80,Low (100-160),1189,-18.0,2023-05-18
2023-05,85,Low (100-160),527,-16.0,2023-05-18
2023-05,10,Med (160-200),162,-18.0,2023-05-19
2023-05,15,Med (160-200),1113,-18.0,2023-05-19
2023-05,20,Med (160-200),3340,-18.0,2023-05-19
2023-05,25,Med (160-200),6672,-19.0,2023-05-19
2023-05,30,Med (160-200),5897,-18.0,2023-05-19
2023-05,35,Med (160-200),5852,-19.0,2023-05-19
2023-05,40,Med (160-200),5772,-18.0,2023-05-19
2023-05,45,Med (160-200),5258,-18.0,2023-05-19
2023-05,50,Med (160-200),4519,-18.0,2023-05-19
2023-05,55,Med (160-200),3735,-18.0,2023-05-19
2023-05,60,Med (160-200),3103,-18.0,2023-05-19
2023-05,65,Med (160-200),2986,-17.0,2023-05-19
2023-05,70,Med (160-200),2575,-18.0,2023-05-19
2023-05,75,Med (160-200),1583,-19.0,2023-05-19
2023-05,80,Med (160-200),829,-21.0,2023-05-19
2023-05,85,Med (160-200),465,-19.0,2023-05-19
2023-05,10,Med (160-200),38,-22.5,2023-05-20
2023-05,15,Med (160-200),322,-21.0,2023-05-20
2023-05,20,Med (160-200),809,-21.0,2023-05-20
2023-05,25,Med (160-200),2860,-20.0,2023-05-20
2023-05,30,Med (160-200),2965,-20.0,2023-05-20
2023-05,35,Med (160-200),3639,-20.0,2023-05-20
2023-05,40,Med (160-200),3056,-19.0,2023-05-20
2023-05,45,Med (160-200),2599,-20.0,2023-05-20
2023-05,50,Med (160-200),2024,-20.0,2023-05-20
2023-05,55,Med (160-200),1645,-20.0,2023-05-20
2023-05,60,Med (160-200),2088,-18.0,2023-05-20
2023-05,65,Med (160-200),2377,-19.0,2023-05-20
2023-05,70,Med (160-200),2488,-19.0,2023-05-20
2023-05,75,Med (160-200),2171,-19.0,2023-05-20
2023-05,80,Med (160-200),1457,-20.0,2023-05-20
2023-05,85,Med (160-200),523,-20.0,2023-05-20
2023-05,10,Med (160-200),71,-22.0,2023-05-21
2023-05,15,Med (160-200),152,-23.0,2023-05-21
2023-05,20,Med (160-200),283,-22.0,2023-05-21
2023-05,25,Med (160-200),696,-21.0,2023-05-21
2023-05,30,Med (160-200),548,-21.0,2023-05-21
2023-05,35,Med (160-200),868,-20.0,2023-05-21
2023-05,40,Med (160-200),1043,-20.0,2023-05-21
2023-05,45,Med (160-200),1055,-19.0,2023-05-21
2023-05,50,Med (160-200),830,-20.0,2023-05-21
2023-05,55,Med (160-200),867,-20.0,2023-05-21
2023-05,60,Med (160-200),881,-20.0,2023-05-21
2023-05,65,Med (160-200),798,-19.0,2023-05-21
2023-05,70,Med (160-200),702,-21.0,2023-05-21
2023-05,75,Med (160-200),767,-21.0,2023-05-21
2023-05,80,Med (160-200),578,-21.0,2023-05-21
2023-05,85,Med (160-200),299,-21.0,2023-05-21
2023-06,5,Med (160-200),2,-24.5,2023-06-19
2023-06,10,Med (160-200),603,-22.0,2023-06-19
2023-06,15,Med (160-200),2528,-20.0,2023-06-19
2023-06,20,Med (160-200),5017,-18.0,2023-06-19
2023-06,25,Med (160-200),4350,-19.0,2023-06-19
2023-06,30,Med (160-200),4387,-19.0,2023-06-19
2023-06,35,Med (160-200),4197,-19.0,2023-06-19
2023-06,40,Med (160-200),3478,-19.0,2023-06-19
2023-06,45,Med (160-200),2877,-19.0,2023-06-19
2023-06,50,Med (160-200),2499,-19.0,2023-06-19
2023-06,55,Med (160-200),2264,-18.0,2023-06-19
2023-06,60,Med (160-200),2372,-18.0,2023-06-19
2023-06,65,Med (160-200),1941,-18.0,2023-06-19
